ID StudentId IndeksId IspitId BrojPrijavaIspita Ocena
1 9 6 4 3 10
2 8 1 3 2 10
3 6 6 8 4 5
4 1 3 7 4 5
5 1 6 8 2 6
6 1 7 2 4 5
7 2 2 6 3 9
8 5 3 9 5 6
9 1 2 7 1 8
10 8 2 6 1 6
11 6 1 9 2 7
12 2 3 6 4 5
13 1 3 8 5 8
14 7 8 8 2 7
15 2 1 7 1 8
16 2 9 1 4 10
17 4 6 1 2 8
18 5 7 4 4 10
19 6 7 1 1 8
20 9 3 3 1 5
21 7 9 5 3 9
22 8 5 6 4 5
23 9 3 5 5 8
24 6 9 4 1 8
25 9 9 7 2 6
26 2 4 9 1 8
27 8 5 5 4 9
28 6 7 5 4 7
29 3 4 6 1 7
30 6 3 4 2 7
31 7 3 1 3 8
32 8 4 6 5 9
33 1 3 3 1 6
34 7 7 3 5 6
35 2 1 5 1 7
36 4 3 2 5 7
37 9 3 6 5 5
38 2 5 7 4 5
39 4 3 1 5 6
40 7 4 4 2 6
41 6 1 6 1 10
42 2 7 3 5 6
43 9 3 4 1 9
44 3 3 9 4 10
45 5 2 5 1 10
46 7 7 8 5 10
47 8 3 4 2 9
48 5 9 6 3 10
49 9 5 8 4 8
50 2 4 5 4 5
51 2 5 9 4 9
52 5 3 5 1 5
53 3 9 8 1 5
54 9 1 3 1 5
55 3 4 3 3 9
56 7 3 8 5 9
57 9 7 2 4 10
58 5 6 3 4 10
59 7 9 9 3 10
60 6 3 1 2 10
61 1 3 2 1 6
62 7 5 6 3 8
63 2 5 6 3 9
64 3 3 1 5 5
65 9 4 9 4 7
66 1 6 8 2 6
67 3 6 6 5 9
68 5 6 7 5 8
69 2 9 6 4 8
70 3 8 3 2 8
71 8 7 5 4 6
72 9 6 2 3 10
73 1 4 2 2 8
74 4 5 3 2 5
75 9 2 4 4 8
76 8 6 1 4 7
77 9 4 1 5 5
78 3 3 4 4 7
79 7 4 9 4 9
80 5 1 3 1 8
81 4 4 2 3 6
82 2 9 3 5 5
83 9 5 7 5 6
84 3 3 8 1 8
85 6 4 8 3 7
86 4 7 3 1 10
